Execution Statistics - edu.byu.am.app.Controller at nate-PC [ PID: 29096 ]
Package,,<Base Time (seconds),Average Base Time (seconds),Cumulative Time (seconds),Calls
    edu.byu.am.lattice,,118.319363,0.000622,118.342053,"""190,088"""
        Supracontext,,112.361957,0.000648,112.361957,"""173,329"""
            getNext() edu.byu.am.lattice.Supracontext,,81.634418,0.000942,81.634418,"""86,636"""
            getCount() int,,28.604417,0.000372,28.604417,"""76,815"""
            decrementCount() void,,2.072884,0.000978,2.072884,"""2,120"""
            incrementCount() void,,0.035008,0.000011,0.035008,"""3,163"""
            getIndex() int,,0.008420,0.000003,0.008420,"""3,272"""
"            ""Supracontext(edu.byu.am.lattice.Supracontext, edu.byu.am.lattice.Subcontext, int)""",,0.003425,0.000032,0.005098,108
            setNext(edu.byu.am.lattice.Supracontext) void,,0.000885,0.000003,0.000885,277
            hasData() boolean,,0.000832,0.000003,0.000832,310
            isDeterministic() boolean,,0.000576,0.000003,0.000576,218
            getOutcome() int,,0.000506,0.000003,0.000506,190
        Lattice,,5.452408,0.000770,118.174096,"""7,082"""
        SubsetIterator,,0.350820,0.000050,0.350820,"""7,040"""
        SubcontextList,,0.137609,0.000186,0.174865,739
        Subcontext,,0.008542,0.000011,0.028340,751
        SubcontextList$1,,0.004252,0.000031,0.004378,138
        MissingDataCompare$1,,0.003276,0.000003,0.003311,"""1,000"""
        MissingDataCompare,,0.000469,0.000067,0.000519,7
        MissingDataCompare$2,,0.000015,0.000015,0.000030,1
        MissingDataCompare$3,,0.000014,0.000014,0.000029,1
    edu.byu.am.app,,0.689596,0.036295,119.507982,19
    edu.byu.am.data,,0.493568,0.000094,0.494390,"""5,253"""
    jargs.gnu,,0.005456,0.000035,0.005456,154
